user_id,Efficiency,Enjoyment,Boredom,Confidence,Anxiety,Personality,group_type
33,20.0,3,2,2,2,S,2
44,60.0,5,1,5,1,C,2
76,30.0,3,2,3,2,S,2
77,30.0,5,2,4,3,S,1
78,30.0,4,3,2,3,D,2
84,30.0,2,3,2,4,C,2
86,45.0,4,1,4,4,S,1
87,25.0,3,2,4,2,C,2
88,20.0,5,5,5,3,S,1
89,30.0,4,2,4,1,S,1
91,30.0,4,3,4,3,C,1
93,55.0,1,3,2,3,S,2
95,10.0,3,2,4,2,I,2
98,16.0,4,2,4,2,D,2
99,35.0,4,2,4,1,S,2
102,40.0,5,1,4,3,S,2
103,25.0,3,1,4,1,I,1
104,30.0,3,2,4,2,C,1
105,15.0,3,3,2,4,S,1
107,45.0,4,1,4,2,S,2
108,10.0,4,3,3,3,C,2
109,30.0,5,1,5,1,C,2
110,20.0,3,4,5,1,C,2
112,25.0,3,2,5,2,D,2
117,25.0,3,2,4,3,S,1
121,35.0,5,2,4,1,I,2
122,45.0,4,3,4,2,D,1
123,20.0,5,2,5,3,D,2
125,60.0,5,1,5,2,I,2
130,30.0,4,2,4,1,C,2
131,70.0,4,1,3,4,C,2
133,30.0,4,1,3,5,I,1
134,30.0,3,1,3,3,D,1
139,47.0,5,1,5,1,C,2
140,30.0,5,1,4,3,I,2
142,15.0,5,1,5,1,I,1
143,45.0,4,2,4,2,D,2
144,20.0,4,1,4,3,I,2
145,45.0,5,1,5,1,I,1
148,60.0,5,1,5,1,S,2
150,30.0,5,5,4,4,C,2
152,105.0,5,1,4,1,D,1
153,20.0,5,2,3,3,C,2
157,45.0,4,1,4,5,C,2
159,40.0,3,2,3,5,C,1
160,30.0,4,2,3,3,C,2
161,20.0,5,1,5,1,S,2
162,30.0,4,2,4,3,D,2
164,25.0,4,1,3,4,S,1
165,15.0,1,1,1,1,D,2
166,90.0,4,2,2,5,I,2
167,30.0,2,3,1,3,S,2
169,30.0,4,2,5,2,C,2
170,25.0,5,2,4,2,I,2
171,25.0,4,2,5,2,D,2
172,180.0,5,1,5,3,I,1
173,30.0,3,2,4,3,C,2
174,15.0,2,3,3,3,C,1
177,35.0,4,4,3,4,I,2
178,40.0,5,1,4,2,S,2
182,45.0,4,1,3,3,C,2
183,30.0,3,4,2,5,D,1
184,30.0,5,1,4,3,D,1
186,35.0,2,1,4,3,I,1
188,60.0,3,4,3,4,C,2
191,30.0,4,2,4,3,C,2
195,23.0,5,1,5,1,S,2
196,15.0,4,2,5,2,S,2
198,20.0,4,2,1,1,D,2
205,15.0,4,2,3,1,C,2
206,15.0,4,3,4,5,C,1
207,25.0,4,2,3,4,D,2
211,20.0,5,1,5,1,D,2
212,20.0,4,2,3,4,C,2
213,15.0,5,1,5,2,I,2
214,30.0,4,2,3,3,S,2
217,0.0,2,4,2,5,C,2
218,15.0,5,1,5,1,C,2
221,10.0,5,1,5,2,I,2
222,20.0,5,3,4,3,C,1
229,60.0,3,1,3,2,D,1
232,60.0,4,1,4,3,D,2
234,35.0,3,2,4,5,I,1
235,83.0,2,2,3,2,D,2
236,30.0,4,2,5,1,S,2
237,30.0,4,3,5,2,I,2
239,90.0,5,2,3,4,D,2
240,30.0,5,1,5,1,C,2
241,20.0,4,2,4,2,S,2
242,30.0,5,1,4,3,C,2
246,25.0,5,1,5,3,I,2
252,60.0,5,1,5,2,C,2
254,40.0,4,1,4,1,I,1
256,60.0,2,1,5,2,S,2
258,12.0,3,2,4,2,D,2
259,45.0,4,1,4,2,S,1
265,15.0,5,1,4,3,I,2
269,20.0,3,3,2,3,C,2
270,40.0,5,1,5,1,S,2
271,55.0,4,1,4,2,D,2
273,20.0,5,1,5,1,C,2
274,30.0,4,1,4,2,C,2
280,30.0,5,2,5,1,D,2
281,30.0,4,2,3,2,I,2
284,0.0,5,1,5,1,C,2
286,20.0,4,1,5,4,D,2
287,25.0,3,2,4,1,C,2
288,40.0,4,1,5,1,S,2
295,30.0,5,1,4,2,I,2
296,20.0,3,3,2,4,C,2
302,30.0,2,4,5,2,I,2
304,20.0,4,2,4,2,C,2
306,20.0,4,2,3,3,C,2
307,35.0,4,2,5,1,S,2
311,45.0,4,2,3,2,D,2
313,15.0,5,2,5,2,D,2
315,30.0,3,4,5,1,C,2
316,20.0,2,5,5,1,I,2
317,30.0,4,2,5,1,D,2
318,60.0,4,1,3,3,S,2
319,60.0,2,3,4,2,C,1
321,30.0,4,1,3,2,S,1
322,35.0,1,3,2,5,I,1
325,48.0,4,1,3,3,I,2
326,40.0,3,2,4,3,D,1
327,35.0,4,1,4,2,S,2
331,15.0,5,1,4,2,S,2
333,390.0,5,1,5,1,I,2
336,20.0,4,2,5,1,I,2
338,20.0,1,5,2,4,C,1
341,30.0,3,3,3,3,S,1
342,45.0,3,2,4,3,D,1
343,22.0,5,1,5,2,S,2
344,60.0,5,1,5,3,S,1
346,50.0,5,1,4,2,S,2
348,35.0,3,3,4,2,C,2
349,3.0,4,2,3,4,S,2
351,25.0,4,1,4,1,I,2
353,35.0,2,4,4,3,C,2
356,0.0,3,4,3,4,S,1
357,30.0,2,3,3,2,I,1
360,25.0,4,1,4,2,C,1
364,30.0,3,3,2,5,C,1
375,10.0,2,1,1,5,C,2
378,0.0,4,2,4,2,D,2
381,20.0,5,1,4,1,C,2
386,120.0,4,1,3,5,C,2
397,25.0,2,1,2,3,C,2
400,60.0,5,2,5,1,D,2
402,90.0,5,1,5,2,C,2
404,30.0,5,1,3,2,I,2
410,45.0,5,1,5,2,I,2
411,20.0,4,2,3,2,C,2
419,17.0,5,3,2,4,S,2
421,30.0,4,2,4,2,S,2
423,20.0,5,1,4,3,S,2
424,30.0,4,5,5,2,S,2
425,45.0,2,3,3,3,C,2
426,25.0,2,4,4,3,I,2
432,180.0,2,4,1,5,I,2
433,30.0,4,2,3,3,C,2
434,40.0,5,1,4,1,I,2
440,25.0,5,1,5,1,C,2
442,20.0,4,2,4,3,S,2
444,,5,1,4,2,C,2
445,15.0,3,3,4,2,C,2
451,25.0,3,1,4,2,C,2
452,12.0,4,1,4,2,D,2
454,1800.0,4,3,4,3,C,2
455,20.0,3,1,3,2,C,2
457,35.0,3,2,1,5,C,1
464,40.0,5,1,5,1,S,2
465,90.0,5,1,5,2,C,2
466,20.0,4,1,4,1,S,2
469,18.0,2,3,1,4,C,2
471,190.0,4,2,5,2,C,2
474,15.0,5,1,5,1,D,2
475,50.0,5,2,5,1,I,2
480,20.0,5,1,3,3,S,2
485,30.0,5,1,3,5,C,2
486,35.0,3,3,2,2,S,2
489,20.0,2,5,1,4,S,2
490,90.0,3,2,5,3,I,2
491,25.0,5,1,5,3,C,2
492,900.0,5,1,5,1,D,2
493,25.0,5,1,4,2,S,2
497,60.0,3,2,3,3,S,2
499,20.0,4,2,3,1,I,2
502,20.0,5,1,4,2,S,2
503,1.0,4,2,4,2,D,2
515,33.0,5,2,5,1,I,2
518,600.0,5,1,5,1,S,2
520,30.0,5,1,2,1,C,2
521,80.0,5,1,5,2,S,2
525,,5,1,5,3,S,2
528,40.0,5,1,3,3,S,2
529,45.0,5,1,5,1,S,2
530,20.0,4,2,4,2,C,2
531,20.0,3,4,4,2,C,2
532,15.0,4,2,5,2,C,2
534,60.0,1,4,3,5,C,2
535,40.0,5,1,5,4,S,2
537,45.0,3,3,2,2,I,2
539,25.0,4,1,3,4,S,2
542,,4,2,4,2,S,2
544,90.0,4,2,3,4,I,2
546,25.0,4,1,4,2,I,2
547,25.0,4,2,4,2,D,2
554,18.0,3,1,5,1,C,2
555,40.0,4,3,3,3,S,2
561,30.0,4,2,4,2,S,2
565,40.0,5,1,5,1,I,2
566,20.0,4,1,3,4,S,2
570,20.0,3,2,4,1,D,2
573,30.0,5,1,5,1,S,2
574,45.0,5,1,4,3,D,2
575,10.0,5,3,3,1,I,2
576,40.0,2,4,5,3,D,2
580,40.0,4,3,4,2,D,2
582,45.0,4,2,4,2,I,2
583,10.0,5,1,5,2,C,2
584,35.0,5,2,3,3,C,2
589,15.0,4,1,3,5,S,2
590,35.0,4,2,4,3,C,2
591,45.0,5,1,5,1,C,2
592,75.0,5,1,5,2,I,2
594,35.0,4,2,4,3,S,2
598,,5,1,5,1,I,2
599,55.0,4,3,5,2,S,2
600,70.0,5,1,3,2,C,2
606,30.0,5,1,5,1,I,2
607,25.0,4,1,4,2,C,2
608,35.0,4,2,4,1,D,2
614,80.0,4,2,4,2,C,2
615,35.0,5,1,4,2,S,2
619,40.0,4,2,4,2,I,2
621,20.0,4,1,4,2,C,2
622,30.0,3,1,2,4,C,1
623,20.0,3,2,3,2,I,2
628,35.0,5,1,5,1,C,1
631,45.0,4,2,3,4,S,1
633,40.0,4,1,4,2,S,1
636,30.0,4,1,4,1,I,2
640,1.0,4,2,4,1,C,1
641,45.0,5,1,4,4,I,2
650,40.0,5,1,4,3,S,1
652,30.0,3,5,2,3,D,2
656,30.0,5,1,4,5,C,1
659,45.0,5,1,5,1,S,1
665,20.0,4,2,3,3,C,1
668,30.0,2,2,3,4,S,1
670,15.0,4,2,3,3,D,2
672,30.0,5,1,3,4,D,2
674,,3,4,4,5,C,1
676,30.0,5,1,4,1,C,1
679,25.0,2,4,3,1,C,1
681,60.0,2,4,4,2,C,1
683,15.0,4,2,3,3,S,1
684,30.0,2,5,4,3,C,1
685,25.0,4,2,4,2,S,1
686,933.0,5,1,3,4,C,1
687,2760.0,4,2,3,1,C,1
689,30.0,2,5,3,4,I,2
692,25.0,2,3,3,5,S,1
695,0.0,1,5,4,2,C,1
700,30.0,5,1,4,1,D,2
701,40.0,4,1,4,2,I,2
702,140.0,5,1,4,2,D,2
703,20.0,3,3,4,2,I,2
704,15.0,5,1,5,1,S,1
706,40.0,4,2,3,4,S,1
708,,5,1,4,2,C,1
709,20.0,4,2,4,2,S,1
710,30.0,5,1,5,1,C,1
711,15.0,3,3,2,4,C,1
715,45.0,3,2,4,1,S,1
718,15.0,4,2,2,4,C,1
721,690.0,4,2,4,3,S,1
723,35.0,4,2,4,2,C,1
725,45.0,4,2,3,3,C,1
729,30.0,2,4,3,2,I,2
731,43.0,4,2,3,5,C,1
733,60.0,4,2,5,2,S,1
734,10.0,3,5,4,2,C,1
737,15.0,3,2,2,3,C,1
738,30.0,4,2,3,3,S,1
739,35.0,5,1,4,2,C,1
742,20.0,4,1,5,2,C,1
743,20.0,3,2,3,1,S,1
744,90.0,3,2,2,3,S,1
746,40.0,5,1,5,1,C,1
748,40.0,4,1,3,4,D,2
752,30.0,5,1,2,4,S,1
757,30.0,3,4,2,1,C,1
758,12.0,4,2,2,4,C,1
762,20.0,3,3,3,3,I,2
764,45.0,5,1,3,3,I,2
767,35.0,4,1,4,1,D,2
770,180.0,5,1,5,1,I,2
773,1440.0,3,2,4,1,I,2
776,60.0,5,1,3,3,S,1
782,240.0,5,1,3,5,D,2
784,30.0,3,3,4,2,I,2
